sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
EE,ESTLAND,1,,0.90,UNCHECKED,UNREVIEWED,,0,42065393,Eastland,Geography,MAPS_TO,,<auto>,1658924390928,
AO,ANGOLA,1,,1.00,UNCHECKED,UNREVIEWED,,0,42060119,Angola,Geography,MAPS_TO,,<auto>,1658924391018,
BL,SAINT BARTHELEMY,1,,0.54,UNCHECKED,UNREVIEWED,,0,41931070,Saint Barthélemy,Geography,MAPS_TO,,<auto>,1658924391028,
NE,NIGER,1,,0.65,UNCHECKED,UNREVIEWED,,0,42079840,Tiger,Geography,MAPS_TO,,<auto>,1658924391080,
PS,PALESTIJNESE AUTORITEIT,1,,0.57,UNCHECKED,UNREVIEWED,,0,42033716,Neerijnen,Geography,MAPS_TO,,<auto>,1658924391153,
MF,SAINT MARTIN,1,,1.00,UNCHECKED,UNREVIEWED,,0,42032175,Saint Martin,Geography,MAPS_TO,,<auto>,1658924391176,
AE,VERENIGDE ARABISCHE EMIRATEN,1,,0.55,UNCHECKED,UNREVIEWED,,0,42068626,Higden,Geography,MAPS_TO,,<auto>,1658924391183,
BI,BURUNDI,1,,0.68,UNCHECKED,UNREVIEWED,,0,42032646,Burum,Geography,MAPS_TO,,<auto>,1658924391219,
HK,HONGKONG,1,,0.74,UNCHECKED,UNREVIEWED,,0,41925659,Gangkou,Geography,MAPS_TO,,<auto>,1658924391224,
GF,FRANS-GUYANA,1,,0.68,UNCHECKED,UNREVIEWED,,0,41929000,French Guiana,Geography,MAPS_TO,,<auto>,1658924391228,
IS,IJSLAND,1,,0.59,UNCHECKED,UNREVIEWED,,0,42034499,Rijs,Geography,MAPS_TO,,<auto>,1658924391298,
FJ,FIJI,1,,0.61,UNCHECKED,UNREVIEWED,,0,42000197,Hiji,Geography,MAPS_TO,,<auto>,1658924391326,
GM,GAMBIA,1,,0.89,UNCHECKED,UNREVIEWED,,0,42060018,Ambia,Geography,MAPS_TO,,<auto>,1658924391346,
AT,OOSTENRIJK,1,,0.65,UNCHECKED,UNREVIEWED,,0,41891943,Vertrijk,Geography,MAPS_TO,,<auto>,1658924391349,
LV,LETLAND,1,,0.94,UNCHECKED,UNREVIEWED,,0,42068583,Hetland,Geography,MAPS_TO,,<auto>,1658924391382,
IN,INDIA,1,,0.79,UNCHECKED,UNREVIEWED,,0,41885535,Indi,Geography,MAPS_TO,,<auto>,1658924391388,
GE,GEORGIË,1,,0.57,UNCHECKED,UNREVIEWED,,0,41884875,Georgica,Geography,MAPS_TO,,<auto>,1658924391393,
CO,COLOMBIA,1,,0.93,UNCHECKED,UNREVIEWED,,0,41949001,Lombia,Geography,MAPS_TO,,<auto>,1658924391414,
VE,VENEZUELA,1,,0.81,UNCHECKED,UNREVIEWED,,0,42083124,Pezuela,Geography,MAPS_TO,,<auto>,1658924391623,
TF,FRANSE ZUIDELIJKE EN ANTARCTIS,1,,0.50,UNCHECKED,UNREVIEWED,,0,42034688,Slijkenburg,Geography,MAPS_TO,,<auto>,1658924391624,
LS,LESOTHO,1,,0.62,UNCHECKED,UNREVIEWED,,0,42064850,DeSoto,Geography,MAPS_TO,,<auto>,1658924391639,
CW,CURAÇAO,1,,1.00,UNCHECKED,UNREVIEWED,,0,42032173,Curacao,Geography,MAPS_TO,,<auto>,1658924391643,
MR,MAURETANIË,1,,0.52,UNCHECKED,UNREVIEWED,,0,41950376,Maure,Geography,MAPS_TO,,<auto>,1658924391646,
PE,PERU,1,,1.00,UNCHECKED,UNREVIEWED,,0,42075551,Peru,Geography,MAPS_TO,,<auto>,1658924391652,
PR,PUERTO RICO,1,,1.00,UNCHECKED,UNREVIEWED,,0,42046290,Puerto Rico,Geography,MAPS_TO,,<auto>,1658924391675,
IL,ISRAËL,1,,0.60,UNCHECKED,UNREVIEWED,,0,41942799,Gaël,Geography,MAPS_TO,,<auto>,1658924391709,
SI,SLOVENIË,1,,0.37,UNCHECKED,UNREVIEWED,,0,42032449,Babyloniënbroek,Geography,MAPS_TO,,<auto>,1658924391795,
